"testrun id","3","6","12","url for different ones"
"1508","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1508"
"1623","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1623"
"1461","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1461"
"1461","machine","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1461"
"2899","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2899"
"1581","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1581"
"1487","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1487"
"2722","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2722"
"1517","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1517"
"2750","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2750"
"1465","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1465"
"1569","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=1569"
"2750","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2750"
"8283","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8283"
"1479","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1479"
"2756","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2756"
"1492","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1492"
"1599","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1599"
"1463","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1463"
"1468","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1468"
"8685","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8685"
"4085","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4085"
"1695","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1695"
"1564","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1564"
"2783","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2783"
"1467","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=1467"
"8115","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8115"
"9581","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=9581"
"2726","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2726"
"2726","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2726"
"1612","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1612"
"4917","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=4917"
"1604","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1604"
"1539","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1539"
"1594","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1594"
"2800","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2800"
"2797","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2797"
"5587","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=5587"
"5101","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=5101"
"2769","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=2769"
"7447","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7447"
"2794","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2794"
"1613","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1613"
"9697","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=9697"
"2746","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2746"
"9497","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=9497"
"2768","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2768"
"1610","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1610"
"8653","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8653"
"2720","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2720"
"2720","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2720"
"1542","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1542"
"4969","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4969"
"2755","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2755"
"1488","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1488"
"1562","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1562"
"8707","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8707"
"2765","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2765"
"3583","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3583"
"2801","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2801"
"1559","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1559"
"2747","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2747"
"1621","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1621"
"1515","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1515"
"2754","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2754"
"1479","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1479"
"1518","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1518"
"2756","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2756"
"3389","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3389"
"4821","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4821"
"4857","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=4857"
"1566","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=1566"
"8321","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=8321"
"9087","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=9087"
"2769","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2769"
"1462","machine","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=1462"
"1623","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1623"
"1620","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1620"
"1511","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1511"
"1499","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1499"
"2790","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2790"
"4937","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4937"
"1475","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1475"
"1455","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1455"
"1481","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1481"
"2746","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2746"
"1536","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1536"
"2801","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2801"
"1520","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1520"
"1464","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1464"
"2800","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2800"
"1556","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1556"
"2766","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2766"
"1552","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=1552"
"1552","machine","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1552"
"1471","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1471"
"1658","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1658"
"3351","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=3351"
"2749","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2749"
