"test, platform","weekday","average"
"('sessionrestore_no_auto_restore', 'Linux64')","Saturday","96.469"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Monday","960.108"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Tuesday","4630.561"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Friday","798.641"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Wednesday","1080.201"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Thursday","1268.633"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Sunday","242.992"
"('sessionrestore_no_auto_restore', 'OSX10.8')","Saturday","392.095"
"('sessionrestore_no_auto_restore', 'Linux')","Monday","215.287"
"('sessionrestore_no_auto_restore', 'Linux')","Tuesday","4587.763"
"('sessionrestore_no_auto_restore', 'Linux')","Friday","167.935"
"('sessionrestore_no_auto_restore', 'Linux')","Wednesday","191.884"
"('sessionrestore_no_auto_restore', 'Linux')","Thursday","178.226"
"('sessionrestore_no_auto_restore', 'Linux')","Sunday","124.719"
"('sessionrestore_no_auto_restore', 'Linux')","Saturday","103.057"
"('media_tests', 'Linux64')","Monday","0.163"
"('media_tests', 'Linux64')","Tuesday","0.144"
"('media_tests', 'Linux64')","Friday","0.143"
"('media_tests', 'Linux64')","Wednesday","0.075"
"('media_tests', 'Linux64')","Thursday","0.088"
"('media_tests', 'Linux64')","Sunday","0.155"
"('media_tests', 'Linux64')","Saturday","0.057"
"('ts_paint', 'OSX64')","Monday","474.290"
"('ts_paint', 'OSX64')","Tuesday","544.701"
"('ts_paint', 'OSX64')","Friday","316.318"
"('ts_paint', 'OSX64')","Wednesday","216.024"
"('ts_paint', 'OSX64')","Thursday","317.351"
"('ts_paint', 'OSX64')","Sunday","221.284"
"('ts_paint', 'OSX64')","Saturday","365.247"
"('ts_paint', 'Win8')","Monday","566.584"
"('ts_paint', 'Win8')","Tuesday","699.062"
"('ts_paint', 'Win8')","Friday","677.168"
"('ts_paint', 'Win8')","Wednesday","743.885"
"('ts_paint', 'Win8')","Thursday","431.394"
"('ts_paint', 'Win8')","Sunday","333.080"
"('ts_paint', 'Win8')","Saturday","8262.616"
"('ts_paint', 'WinXP')","Monday","3125.168"
"('ts_paint', 'WinXP')","Tuesday","364.309"
"('ts_paint', 'WinXP')","Friday","263.829"
"('ts_paint', 'WinXP')","Wednesday","768.475"
"('ts_paint', 'WinXP')","Thursday","280.041"
"('ts_paint', 'WinXP')","Sunday","69.910"
"('ts_paint', 'WinXP')","Saturday","94.315"
"('ts_paint', 'Win7')","Monday","184.737"
"('ts_paint', 'Win7')","Tuesday","405.533"
"('ts_paint', 'Win7')","Friday","234.295"
"('ts_paint', 'Win7')","Wednesday","172.920"
"('ts_paint', 'Win7')","Thursday","147.551"
"('ts_paint', 'Win7')","Sunday","118.441"
"('ts_paint', 'Win7')","Saturday","272.681"
"('ts_paint', 'Linux64')","Monday","642.894"
"('ts_paint', 'Linux64')","Tuesday","1097.345"
"('ts_paint', 'Linux64')","Friday","716.676"
"('ts_paint', 'Linux64')","Wednesday","757.950"
"('ts_paint', 'Linux64')","Thursday","1221.588"
"('ts_paint', 'Linux64')","Sunday","530.769"
"('ts_paint', 'Linux64')","Saturday","1561.725"
"('ts_paint', 'OSX10.8')","Monday","6212.411"
"('ts_paint', 'OSX10.8')","Tuesday","9639.255"
"('ts_paint', 'OSX10.8')","Friday","5231.546"
"('ts_paint', 'OSX10.8')","Wednesday","7056.268"
"('ts_paint', 'OSX10.8')","Thursday","8083.488"
"('ts_paint', 'OSX10.8')","Sunday","1670.012"
"('ts_paint', 'OSX10.8')","Saturday","1607.049"
"('ts_paint', 'Linux')","Monday","411.749"
"('ts_paint', 'Linux')","Tuesday","1244.768"
"('ts_paint', 'Linux')","Friday","446.196"
"('ts_paint', 'Linux')","Wednesday","416.171"
"('ts_paint', 'Linux')","Thursday","407.653"
"('ts_paint', 'Linux')","Sunday","390.195"
"('ts_paint', 'Linux')","Saturday","514.380"
"('ts_paint', 'Android')","Monday","4010.421"
"('ts_paint', 'Android')","Tuesday","110177.393"
"('ts_paint', 'Android')","Friday","4252.710"
"('ts_paint', 'Android')","Wednesday","43191.483"
"('ts_paint', 'Android')","Thursday","8436.843"
"('ts_paint', 'Android')","Sunday","3183.607"
"('ts_paint', 'Android')","Saturday","2653.783"
"('tsvgr_opacity', 'OSX64')","Monday","22.710"
"('tsvgr_opacity', 'OSX64')","Tuesday","1145.318"
"('tsvgr_opacity', 'OSX64')","Friday","110.313"
"('tsvgr_opacity', 'OSX64')","Wednesday","3188.998"
"('tsvgr_opacity', 'OSX64')","Thursday","1042.770"
"('tsvgr_opacity', 'OSX64')","Sunday","27.856"
"('tsvgr_opacity', 'OSX64')","Saturday","147.263"
"('tsvgr_opacity', 'Win8')","Monday","5.529"
"('tsvgr_opacity', 'Win8')","Tuesday","172.247"
"('tsvgr_opacity', 'Win8')","Friday","6.979"
"('tsvgr_opacity', 'Win8')","Wednesday","38.516"
"('tsvgr_opacity', 'Win8')","Thursday","62.936"
"('tsvgr_opacity', 'Win8')","Sunday","7.370"
"('tsvgr_opacity', 'Win8')","Saturday","3.861"
"('tsvgr_opacity', 'WinXP')","Monday","39.071"
"('tsvgr_opacity', 'WinXP')","Tuesday","859.619"
"('tsvgr_opacity', 'WinXP')","Friday","172.612"
"('tsvgr_opacity', 'WinXP')","Wednesday","1218.548"
"('tsvgr_opacity', 'WinXP')","Thursday","835.205"
"('tsvgr_opacity', 'WinXP')","Sunday","221.659"
"('tsvgr_opacity', 'WinXP')","Saturday","230.524"
"('tsvgr_opacity', 'Win7')","Monday","18.847"
"('tsvgr_opacity', 'Win7')","Tuesday","64.863"
"('tsvgr_opacity', 'Win7')","Friday","19.194"
"('tsvgr_opacity', 'Win7')","Wednesday","202.312"
"('tsvgr_opacity', 'Win7')","Thursday","142.286"
"('tsvgr_opacity', 'Win7')","Sunday","24.383"
"('tsvgr_opacity', 'Win7')","Saturday","17.822"
"('tsvgr_opacity', 'Linux64')","Monday","876.032"
"('tsvgr_opacity', 'Linux64')","Tuesday","813.625"
"('tsvgr_opacity', 'Linux64')","Friday","562.561"
"('tsvgr_opacity', 'Linux64')","Wednesday","736.821"
"('tsvgr_opacity', 'Linux64')","Thursday","816.465"
"('tsvgr_opacity', 'Linux64')","Sunday","501.192"
"('tsvgr_opacity', 'Linux64')","Saturday","733.315"
"('tsvgr_opacity', 'OSX10.8')","Monday","178.079"
"('tsvgr_opacity', 'OSX10.8')","Tuesday","614.219"
"('tsvgr_opacity', 'OSX10.8')","Friday","123.298"
"('tsvgr_opacity', 'OSX10.8')","Wednesday","1093.582"
"('tsvgr_opacity', 'OSX10.8')","Thursday","393.523"
"('tsvgr_opacity', 'OSX10.8')","Sunday","39.444"
"('tsvgr_opacity', 'OSX10.8')","Saturday","141.322"
"('tsvgr_opacity', 'Linux')","Monday","636.934"
"('tsvgr_opacity', 'Linux')","Tuesday","587.893"
"('tsvgr_opacity', 'Linux')","Friday","451.168"
"('tsvgr_opacity', 'Linux')","Wednesday","742.890"
"('tsvgr_opacity', 'Linux')","Thursday","814.578"
"('tsvgr_opacity', 'Linux')","Sunday","468.252"
"('tsvgr_opacity', 'Linux')","Saturday","638.046"
"('tresize', 'OSX64')","Monday","0.263"
"('tresize', 'OSX64')","Tuesday","38.943"
"('tresize', 'OSX64')","Friday","0.742"
"('tresize', 'OSX64')","Wednesday","0.468"
"('tresize', 'OSX64')","Thursday","0.161"
"('tresize', 'OSX64')","Sunday","0.175"
"('tresize', 'OSX64')","Saturday","0.163"
"('tresize', 'Win8')","Monday","0.161"
"('tresize', 'Win8')","Tuesday","0.170"
"('tresize', 'Win8')","Friday","0.079"
"('tresize', 'Win8')","Wednesday","0.199"
"('tresize', 'Win8')","Thursday","0.017"
"('tresize', 'Win8')","Sunday","0.118"
"('tresize', 'Win8')","Saturday","0.013"
"('tresize', 'WinXP')","Monday","0.074"
"('tresize', 'WinXP')","Tuesday","0.227"
"('tresize', 'WinXP')","Friday","0.588"
"('tresize', 'WinXP')","Wednesday","0.215"
"('tresize', 'WinXP')","Thursday","0.097"
"('tresize', 'WinXP')","Sunday","0.058"
"('tresize', 'WinXP')","Saturday","0.064"
"('tresize', 'Win7')","Monday","0.420"
"('tresize', 'Win7')","Tuesday","0.223"
"('tresize', 'Win7')","Friday","0.167"
"('tresize', 'Win7')","Wednesday","0.231"
"('tresize', 'Win7')","Thursday","0.053"
"('tresize', 'Win7')","Sunday","0.306"
"('tresize', 'Win7')","Saturday","0.089"
"('tresize', 'Linux64')","Monday","0.485"
"('tresize', 'Linux64')","Tuesday","0.723"
"('tresize', 'Linux64')","Friday","9.559"
"('tresize', 'Linux64')","Wednesday","0.630"
"('tresize', 'Linux64')","Thursday","5.903"
"('tresize', 'Linux64')","Sunday","0.117"
"('tresize', 'Linux64')","Saturday","0.224"
"('tresize', 'OSX10.8')","Monday","1.085"
"('tresize', 'OSX10.8')","Tuesday","45.694"
"('tresize', 'OSX10.8')","Friday","0.790"
"('tresize', 'OSX10.8')","Wednesday","1.615"
"('tresize', 'OSX10.8')","Thursday","44.144"
"('tresize', 'OSX10.8')","Sunday","0.333"
"('tresize', 'OSX10.8')","Saturday","0.312"
"('tresize', 'Linux')","Monday","1.332"
"('tresize', 'Linux')","Tuesday","11.451"
